"vendor","eaccess_c","eaccess_x"
"MEDITECH","0.75","N"
"MEDITECH","0.54","N"
"Allscripts","0.78","N"
"Cerner Corporation","0.73","N"
"Cerner Corporation","1.00","N"
"Epic Systems","0.97","N"
"Epic Systems","0.97","N"
"MEDITECH","0.62","N"
"Epic Systems","0.99","N"
"MEDITECH",NULL,"Y"
"MEDITECH","0.97","N"
"Evident","0.60","N"
"MEDITECH","1.00","N"
"MEDHOST","0.81","N"
"MEDITECH",NULL,"Y"
"Evident","0.76","N"
"Epic Systems","0.99","N"
"McKesson","0.94","N"
"Cerner Corporation",NULL,"Y"
"MEDITECH","0.70","N"
"Cerner Corporation","0.58","N"
"Epic Systems","0.98","N"
"Epic Systems","0.98","N"
"Evident","0.82","N"
"Epic Systems","0.98","N"
"Cerner Corporation","0.68","N"
"QuadraMed",NULL,"Y"
"Healthland","0.74","N"
"MEDITECH","0.97","N"
"Healthland",NULL,"Y"
"Epic Systems","0.98","N"
"Epic Systems","0.99","N"
"Evident","0.87","N"
"MEDITECH","1.00","N"
"McKesson","0.60","N"
"Epic Systems","0.98","N"
"Cerner Corporation","0.99","N"
"McKesson","0.69","N"
"MEDHOST","0.84","N"
"MEDITECH","0.53","N"
"Healthland","0.78","N"
"MEDHOST","0.82","N"
"NextGen Healthcare","0.93","N"
"MEDHOST","0.94","N"
"Evident","0.98","N"
"Cerner Corporation","0.89","N"
"McKesson","0.83","N"
"Epic Systems","0.95","N"
"Prognosis Innovation Healthcare","0.97","N"
"Cerner Corporation","0.95","N"
"MEDITECH","0.59","N"
"Epic Systems","0.94","N"
"QuadraMed",NULL,"Y"
"Epic Systems","0.86","N"
"Epic Systems","0.98","N"
"MEDITECH","0.53","N"
"MEDITECH",NULL,"Y"
"MEDHOST","0.96","N"
"NextGen Healthcare","0.83","N"
"Evident",NULL,"Y"
"Epic Systems","0.91","N"
"Cerner Corporation","0.52","N"
"Intermountain Healthcare","0.56","N"
"Epic Systems","0.95","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"Cerner Corporation","1.00","N"
"Epic Systems","1.00","N"
"MEDITECH",NULL,"Y"
"Cerner Corporation",NULL,"Y"
"Evident","0.58","N"
"MEDITECH","0.89","N"
"Allscripts","0.81","N"
"Allscripts","0.68","N"
"OptumInsight","1.00","N"
"Evident","0.80","N"
"Epic Systems","0.98","N"
"Evident","0.73","N"
"Cerner Corporation","0.91","N"
"Epic Systems","0.98","N"
"Cerner Corporation","0.53","N"
"Epic Systems","0.95","N"
"Evident","0.53","N"
"MEDITECH","1.00","N"
"MEDITECH","0.82","N"
"MEDITECH","0.92","N"
"Epic Systems","0.84","N"
"MEDHOST","0.89","N"
"Epic Systems","0.92","N"
"Epic Systems","1.00","N"
"RazorInsights","1.00","N"
"Evident","0.89","N"
"MEDITECH",NULL,"Y"
"Epic Systems","0.92","N"
"MEDITECH","0.82","N"
"McKesson","0.75","N"
"MEDHOST","0.89","N"
"Allscripts","0.84","N"
"MEDITECH","0.70","N"
"Cerner Corporation",NULL,"Y"
"Epic Systems","0.99","N"
"Healthland",NULL,"Y"
"Cerner Corporation","1.00","N"
"MEDITECH","1.00","N"
"MEDHOST","0.88","N"
"Cerner Corporation","0.97","N"
"Epic Systems","0.98","N"
"Sevocity a division of Conceptual MindWorks",NULL,"Y"
"Cerner Corporation","0.89","N"
"MEDHOST","0.83","N"
"Cerner Corporation","0.67","N"
"Allscripts","0.57","N"
"Wellsoft",NULL,"Y"
"MEDITECH","0.52","N"
"McKesson","0.76","N"
"Cerner Corporation","0.69","N"
"Cerner Corporation","0.81","N"
"Indian Health Service",NULL,"Y"
"McKesson","0.55","N"
"MEDITECH","1.00","N"
"Evident","0.96","N"
"MEDITECH",NULL,"Y"
"Cerner Corporation",NULL,"Y"
"MEDHOST","0.92","N"
"Evident","0.68","N"
"Epic Systems","0.98","N"
"Healthland","0.67","N"
"MEDITECH",NULL,"Y"
"Healthland",NULL,"Y"
"QuadraMed","0.79","N"
"MEDHOST","0.76","N"
"MEDITECH",NULL,"Y"
"MEDITECH","0.80","N"
"MEDHOST","0.96","N"
"Epic Systems","0.88","N"
"Epic Systems","0.94","N"
"Evident","1.00","N"
"Indian Health Service",NULL,"Y"
"Epic Systems","0.93","N"
"Epic Systems","0.99","N"
"Epic Systems","0.99","N"
"MEDITECH",NULL,"Y"
"Cerner Corporation","0.50","N"
"Healthland",NULL,"Y"
"Allscripts","0.93","N"
"Evident","0.58","N"
"Cerner Corporation","0.86","N"
"Cerner Corporation",NULL,"Y"
"Epic Systems","0.93","N"
"McKesson","0.53","N"
"RazorInsights","1.00","N"
"MEDITECH",NULL,"Y"
"MEDHOST","0.92","N"
"McKesson",NULL,"Y"
"McKesson","0.71","N"
"Evident","0.99","N"
"MEDITECH","0.90","N"
"Epic Systems","0.96","N"
"Cerner Corporation","0.69","N"
"Evident","0.76","N"
"Epic Systems","0.96","N"
"Cerner Corporation","0.76","N"
"MEDHOST","0.60","N"
"Cerner Corporation","0.64","N"
"MEDHOST","1.00","N"
"Allscripts","0.59","N"
"Healthland",NULL,"Y"
"Epic Systems","0.64","N"
"Epic Systems","0.54","N"
"QuadraMed",NULL,"Y"
"Cerner Corporation",NULL,"Y"
"MEDITECH","0.53","N"
"MEDITECH","0.97","N"
"GE Healthcare",NULL,"Y"
"Cerner Corporation","0.71","N"
"MEDHOST","0.87","N"
"Intermountain Healthcare","0.50","N"
"Evident","0.85","N"
"McKesson","0.65","N"
"McKesson","0.90","N"
"Evident","0.83","N"
"Cerner Corporation","1.00","N"
"McKesson","0.63","N"
"McKesson",NULL,"Y"
"MEDITECH",NULL,"Y"
"Cerner Corporation","0.51","N"
"Indian Health Service",NULL,"Y"
"Epic Systems","0.52","N"
"QuadraMed",NULL,"Y"
"Cerner Corporation","0.99","N"
"MEDITECH","0.97","N"
"McKesson","0.86","N"
"Cerner Corporation","0.51","N"
"MEDITECH","0.84","N"
"Cerner Corporation","0.65","N"
"MEDITECH","0.96","N"
"Epic Systems","0.98","N"
"Cerner Corporation","0.97","N"
"NextGen Healthcare","0.90","N"
"McKesson","0.64","N"
"Allscripts","0.65","N"
"MEDITECH","0.82","N"
"Epic Systems","0.99","N"
"McKesson","0.72","N"
"Cerner Corporation","0.63","N"
"Healthland","0.99","N"
"Allscripts","0.76","N"
"Epic Systems","0.95","N"
"MEDITECH","0.91","N"
"Epic Systems","0.99","N"
"Epic Systems","0.96","N"
"Cerner Corporation","0.53","N"
"McKesson","0.87","N"
"Epic Systems","0.91","N"
"MEDITECH","1.00","N"
"McKesson","0.77","N"
"Cerner Corporation","0.70","N"
"MEDITECH","0.65","N"
"Evident","0.84","N"
"NextGen Healthcare","0.72","N"
"Cerner Corporation","0.90","N"
"Cerner Corporation","0.99","N"
"Evident","0.98","N"
"Evident","0.86","N"
"Allscripts","0.55","N"
"Epic Systems","0.98","N"
"Evident","0.98","N"
"Cerner Corporation","0.69","N"
"MEDITECH","0.54","N"
"Epic Systems","0.98","N"
"Evident","0.97","N"
"MEDITECH","1.00","N"
"Epic Systems","0.99","N"
"Cerner Corporation","0.94","N"
"Cerner Corporation","0.61","N"
"Epic Systems","0.88","N"
"Healthland","0.98","N"
"Cerner Corporation","0.72","N"
"Cerner Corporation","0.84","N"
"Epic Systems","0.97","N"
"Epic Systems","0.86","N"
"MEDITECH","0.72","N"
"Epic Systems","0.59","N"
"McKesson","0.75","N"
"Epic Systems","0.99","N"
"Epic Systems","0.97","N"
"Cerner Corporation","0.90","N"
"Epic Systems","0.99","N"
"Epic Systems","0.98","N"
"Cerner Corporation","0.96","N"
"Epic Systems","1.00","N"
"Healthland",NULL,"Y"
"Cerner Corporation","1.00","N"
"MEDHOST",NULL,"Y"
"Cerner Corporation",NULL,"Y"
"Epic Systems","0.99","N"
"Cerner Corporation","0.70","N"
"Epic Systems","0.99","N"
"Cerner Corporation","0.59","N"
"MEDHOST","0.87","N"
"Cerner Corporation",NULL,"Y"
"Cerner Corporation","0.83","N"
"Intermountain Healthcare","0.53","N"
"Epic Systems","0.99","N"
"Intermountain Healthcare","0.56","N"
"GE Healthcare",NULL,"Y"
"NextGen Healthcare","0.90","N"
"McKesson","0.66","N"
"Cerner Corporation","0.51","N"
"Evident","1.00","N"
"MEDHOST","0.91","N"
"Evident",NULL,"Y"
"RazorInsights","1.00","N"
"Cerner Corporation",NULL,"Y"
"MEDITECH",NULL,"Y"
"Prognosis Innovation Healthcare",NULL,"Y"
"Evident","0.93","N"
"MEDITECH","0.85","N"
"MEDITECH","0.72","N"
"MEDITECH","1.00","N"
"McKesson","0.85","N"
"Healthland","0.62","N"
"QuadraMed",NULL,"Y"
"Epic Systems","0.85","N"
"GE Healthcare",NULL,"Y"
"MEDHOST","0.86","N"
"McKesson","0.66","N"
"Evident","0.52","N"
"Epic Systems","0.97","N"
"MEDITECH",NULL,"Y"
"MEDITECH","0.57","N"
"McKesson",NULL,"Y"
"Cerner Corporation","0.74","N"
"Cerner Corporation","0.93","N"
"Cerner Corporation","0.94","N"
"Cerner Corporation","1.00","N"
"Indian Health Service",NULL,"Y"
"MEDITECH","1.00","N"
"Prognosis Innovation Healthcare","0.95","N"
"Cerner Corporation","0.90","N"
"Evident","0.98","N"
"Cerner Corporation","0.98","N"
"NextGen Healthcare","0.75","N"
"Epic Systems","0.98","N"
"Epic Systems","0.99","N"
"NextGen Healthcare","0.68","N"
"McKesson","0.57","N"
"McKesson","0.72","N"
"Allscripts","0.74","N"
"MEDHOST",NULL,"Y"
"Allscripts","0.55","N"
"Health Care Systems",NULL,"Y"
"McKesson","0.56","N"
"Epic Systems","0.69","N"
"Cerner Corporation","0.85","N"
"Intermountain Healthcare","0.60","N"
"Epic Systems","0.97","N"
"Allscripts","0.53","N"
"Indian Health Service",NULL,"Y"
"Indian Health Service",NULL,"Y"
"Cerner Corporation","0.93","N"
"MEDHOST","0.92","N"
"McKesson","0.95","N"
"MEDHOST","1.00","N"
"MEDITECH","1.00","N"
"McKesson","0.86","N"
"Healthland","0.78","N"
"Evident","0.93","N"
"Cerner Corporation","1.00","N"
"NextGen Healthcare",NULL,"Y"
"Evident","0.53","N"
"Cerner Corporation","0.83","N"
"McKesson","0.78","N"
"Evident","0.62","N"
"MEDITECH","0.99","N"
"MEDITECH","0.99","N"
"Healthland","0.81","N"
"Cerner Corporation","0.92","N"
"Allscripts","0.77","N"
"MEDITECH","0.51","N"
"Evident","0.93","N"
"MEDITECH","1.00","N"
"Cerner Corporation","0.63","N"
"Epic Systems","0.96","N"
"Epic Systems","0.97","N"
"Cerner Corporation",NULL,"Y"
"Cerner Corporation","0.94","N"
"Epic Systems","0.98","N"
"QuadraMed",NULL,"Y"
"Epic Systems","1.00","N"
"Cerner Corporation","0.84","N"
"MEDITECH",NULL,"Y"
"Cerner Corporation","0.99","N"
"MEDITECH","0.96","N"
"GE Healthcare",NULL,"Y"
"Epic Systems","0.99","N"
"Healthland",NULL,"Y"
"Epic Systems","0.84","N"
"Indian Health Service",NULL,"Y"
"Indian Health Service","0.67","N"
"Cerner Corporation","0.57","N"
"Epic Systems","0.63","N"
"Allscripts","0.97","N"
"Epic Systems","0.99","N"
"McKesson","0.70","N"
"Evident",NULL,"Y"
"MEDITECH","1.00","N"
"McKesson","0.69","N"
"Allscripts","0.76","N"
"Indian Health Service",NULL,"Y"
"Epic Systems","0.98","N"
"Evident","0.85","N"
"NextGen Healthcare","0.96","N"
"Healthland",NULL,"Y"
"MEDITECH","0.62","N"
"MEDHOST","0.83","N"
"Cerner Corporation","0.96","N"
"Evident","1.00","N"
"McKesson","0.56","N"
"Evident","0.79","N"
"RazorInsights","1.00","N"
"McKesson","0.66","N"
"McKesson","0.65","N"
"Healthland","0.97","N"
"Epic Systems","0.73","N"
"Evident","0.82","N"
"Evident",NULL,"Y"
"Epic Systems","0.96","N"
"Evident","0.88","N"
"MEDITECH","0.85","N"
"Cerner Corporation",NULL,"Y"
"McKesson","0.73","N"
"MEDITECH",NULL,"Y"
"MEDITECH","0.99","N"
"MEDITECH","1.00","N"
"Healthland","0.98","N"
"MEDITECH","0.54","N"
"MEDITECH","0.80","N"
"Cerner Corporation","0.82","N"
"Cerner Corporation","0.70","N"
"Evident","0.81","N"
