"vendor","VDT_c","VDT_x"
"Epic Systems","1.00","N"
"Practice Fusion","0.78","N"
"eClinicalWorks","0.99","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"athenahealth","0.93","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"First Insight","0.73","N"
"Modernizing Medicine","0.93","N"
"athenahealth","0.64","N"
"Falcon","0.96","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"MEDITECH","1.00","N"
"Allscripts","0.65","N"
"Epic Systems","0.99","N"
"Epic Systems","0.98","N"
"NextGen Healthcare","0.55","N"
"Epic Systems","0.94","N"
"eClinicalWorks","1.00","N"
"Clinix MIS","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.94","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.69","N"
"Allscripts","0.79","N"
"Epic Systems","0.88","N"
"gMed","0.56","N"
"eClinicalWorks","0.97","N"
"Allscripts","0.86","N"
"Epic Systems","0.99","N"
"Acumen Physician Solutions","0.77","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.97","N"
"eClinicalWorks","1.00","N"
"Epic Systems","0.96","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.84","N"
"Abeo Solutions","0.89","N"
"gMed","0.61","N"
"Allscripts","0.80","N"
"iPatientCare","0.55","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"DOX EMR","0.87","N"
"athenahealth","0.96","N"
"First Insight","0.81","N"
"Medflow","0.98","N"
"Epic Systems","1.00","N"
"Allscripts","0.76","N"
"athenahealth","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","0.73","N"
"Community Computer Service","0.70","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"First Insight","0.72","N"
"eClinicalWorks","0.96","N"
"athenahealth","0.95","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
"Eyefinity/OfficeMate","0.57","N"
"eClinicalWorks","0.99","N"
"GEMMS","0.69","N"
"gMed","0.71","N"
"Integrity Digital Solutions","0.86","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"Allscripts","0.54","N"
"gMed","0.73","N"
"gMed","0.59","N"
"CureMD","0.51","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"Medflow","1.00","N"
"Epic Systems","0.94","N"
"Allscripts","0.99","N"
"eClinicalWorks","0.67","N"
"eClinicalWorks","0.99","N"
"Epic Systems","0.97","N"
"Allscripts","0.81","N"
"Epic Systems","0.95","N"
"Allscripts","0.89","N"
"Epic Systems","0.89","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
"Epic Systems","0.99","N"
"eClinicalWorks","0.93","N"
"eClinicalWorks","0.96","N"
"Allscripts","0.97","N"
"eClinicalWorks","1.00","N"
"athenahealth","1.00","N"
"eClinicalWorks","1.00","N"
"Epic Systems","1.00","N"
"athenahealth","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.70","N"
"athenahealth","0.68","N"
"Falcon","0.96","N"
"Greenway Health","1.00","N"
"eClinicalWorks","0.80","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"NextGen Healthcare","0.68","N"
"eClinicalWorks","1.00","N"
"Cerner Corporation","0.88","N"
"Falcon","0.89","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"Epic Systems","0.79","N"
"eClinicalWorks","0.98","N"
"Varian Medical Systems","0.94","N"
"e-MDs","0.52","N"
"Epic Systems","1.00","N"
"Allscripts","0.59","N"
"athenahealth","0.99","N"
"athenahealth","1.00","N"
"Allscripts","0.63","N"
"Epic Systems","0.96","N"
"Epic Systems","0.93","N"
"Epic Systems","0.61","N"
"eClinicalWorks","0.82","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"Merge Healthcare","0.74","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.91","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.87","N"
"Practice Fusion","0.58","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"Allscripts","0.99","N"
"Sevocity a division of Conceptual MindWorks","0.52","N"
"eClinicalWorks","0.97","N"
"Allscripts","0.73","N"
"Medflow","0.97","N"
"Epic Systems","0.89","N"
"Epic Systems","0.82","N"
"athenahealth","1.00","N"
"Epic Systems","0.98","N"
"Epic Systems","0.92","N"
"Cerner Corporation","0.77","N"
"Community Computer Service","0.59","N"
"Greenway Health","0.94","N"
"Office Ally","0.81","N"
"Epic Systems","0.99","N"
"Allscripts","0.63","N"
"Cerner Corporation","0.50","N"
"eClinicalWorks","0.90","N"
"Epic Systems","0.99","N"
"eClinicalWorks","0.92","N"
"Epic Systems","0.92","N"
"Epic Systems","0.75","N"
"Medstreaming","0.98","N"
"Epic Systems","0.90","N"
"Eyefinity/OfficeMate","0.54","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.99","N"
"Epic Systems","0.99","N"
"Epic Systems","0.99","N"
"Epic Systems","0.90","N"
"Epic Systems","1.00","N"
"Epic Systems","0.85","N"
"Epic Systems","0.89","N"
"Allscripts","0.85","N"
"eClinicalWorks","0.99","N"
"Epic Systems","0.99","N"
"eClinicalWorks","0.83","N"
"Epic Systems","1.00","N"
"Epic Systems","0.97","N"
"NextGen Healthcare","0.65","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"athenahealth","1.00","N"
"athenahealth","0.94","N"
"Epic Systems","1.00","N"
"Acumen Physician Solutions","0.86","N"
"Epic Systems","0.97","N"
"eClinicalWorks","0.54","N"
"Epic Systems","0.99","N"
"eClinicalWorks","0.89","N"
"MEDITECH","0.82","N"
"Community Computer Service","0.57","N"
"Epic Systems","0.97","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"athenahealth","0.99","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","0.97","N"
"Greenway Health","1.00","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.98","N"
"Greenway Health","0.90","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"eClinicalWorks","0.93","N"
"eClinicalWorks","0.64","N"
"Epic Systems","1.00","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"iPatientCare","0.75","N"
"Epic Systems","0.93","N"
"NextGen Healthcare","0.67","N"
"eClinicalWorks","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"athenahealth","0.99","N"
"Epic Systems","1.00","N"
"GEMMS","0.97","N"
"eClinicalWorks","0.89","N"
"Epic Systems","0.96","N"
"Acumen Physician Solutions","0.92","N"
"Practice Fusion","0.61","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.79","N"
"Epic Systems","0.97","N"
"athenahealth","0.92","N"
"Epic Systems","0.81","N"
"Epic Systems","0.99","N"
"athenahealth","0.95","N"
"Epic Systems","1.00","N"
"Allscripts","0.98","N"
"Allscripts","0.87","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.95","N"
"Community Computer Service","0.73","N"
"Epic Systems","0.91","N"
"eClinicalWorks","0.80","N"
"Community Computer Service","0.90","N"
"Epic Systems","0.99","N"
"athenahealth","1.00","N"
"Epic Systems","1.00","N"
"Allscripts","0.69","N"
"Epic Systems","1.00","N"
"Epic Systems","0.95","N"
"Epic Systems","1.00","N"
"Practice Fusion","0.63","N"
"eClinicalWorks","0.96","N"
"Epic Systems","0.98","N"
"Integrity Digital Solutions","0.86","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.80","N"
"Community Computer Service","0.92","N"
"Epic Systems","0.97","N"
"eClinicalWorks","0.98","N"
"Greenway Health",NULL,"Y"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"STI Computer Services","0.75","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"Epic Systems","0.99","N"
"Networking Technology dba RxNT","0.96","N"
"Epic Systems","0.97","N"
"Epic Systems","1.00","N"
"Epic Systems","0.92","N"
"Epic Systems","0.97","N"
"Epic Systems","0.99","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.84","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"Epic Systems","0.99","N"
"GEMMS","0.98","N"
"Epic Systems","0.98","N"
"Epic Systems","1.00","N"
"Epic Systems","1.00","N"
"eClinicalWorks","0.98","N"
"Epic Systems","1.00","N"
"athenahealth","1.00","N"
